Starting job 16333685 on c5-60 on Saga at Fri Dec 12 16:29:13 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
2800        |         -51599   |       -50981.9   |       -617.111   |   00:31:20   |   55:25:48   |
2820        |       -51594.8   |       -50978.7   |       -616.102   |   00:31:34   |   55:26:35   |
2840        |       -51592.6   |       -50968.3   |       -624.357   |   00:31:48   |   55:27:21   |
2860        |       -51598.7   |       -50977.5   |       -621.211   |   00:32:02   |   55:28:06   |
2880        |       -51593.1   |         -50970   |       -623.128   |   00:32:16   |   55:28:50   |
2900        |       -51597.6   |       -50974.3   |       -623.369   |   00:32:29   |   55:27:51   |
2920        |       -51608.8   |         -50985   |       -623.846   |   00:32:43   |   55:28:35   |
2940        |       -51611.7   |       -50989.5   |       -622.206   |   00:32:57   |   55:29:17   |
2960        |       -51602.4   |       -50984.1   |       -618.346   |   00:33:10   |   55:28:19   |
2980        |         -51598   |       -50978.9   |       -619.026   |   00:33:25   |   55:30:40   |
3000        |       -51616.9   |       -51000.2   |       -616.769   |   00:33:39   |   55:31:21   |
3020        |       -51611.6   |       -50996.7   |       -614.935   |   00:33:54   |   55:33:38   |
3040        |       -51604.2   |         -50988   |       -616.274   |   00:34:08   |   55:34:17   |
3060        |       -51602.9   |       -50985.7   |       -617.194   |   00:34:22   |   55:34:54   |
3080        |       -51590.1   |       -50973.2   |       -616.892   |   00:34:35   |   55:33:55   |
3100        |         -51599   |         -50977   |       -622.052   |   00:34:49   |   55:34:32   |
3120        |       -51610.3   |         -50987   |       -623.351   |   00:35:02   |   55:33:33   |
3140        |       -51606.9   |       -50984.1   |       -622.732   |   00:35:16   |   55:34:09   |
3160        |       -51612.5   |       -50988.4   |       -624.108   |   00:35:30   |   55:34:45   |
3180        |       -51592.3   |       -50966.2   |       -626.047   |   00:35:43   |   55:33:46   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
3200        |       -51600.4   |       -50969.8   |       -630.633   |   00:35:57   |   55:34:21   |
3220        |       -51601.4   |       -50972.4   |       -629.003   |   00:36:11   |   55:34:56   |
3240        |       -51603.5   |       -50974.1   |       -629.429   |   00:36:25   |   55:35:29   |
3260        |       -51603.4   |       -50976.4   |       -627.015   |   00:36:38   |   55:34:31   |
3280        |       -51600.5   |       -50976.4   |       -624.088   |   00:36:51   |   55:33:34   |
3300        |       -51601.4   |       -50981.9   |       -619.542   |   00:37:05   |   55:34:07   |
3320        |       -51598.4   |       -50971.6   |       -626.891   |   00:37:18   |   55:33:10   |
3340        |       -51597.9   |       -50971.7   |       -626.175   |   00:37:31   |   55:32:14   |
3360        |       -51589.1   |       -50969.9   |       -619.149   |   00:37:45   |   55:32:47   |
3380        |       -51605.3   |       -50992.1   |       -613.139   |   00:37:58   |   55:31:51   |
3400        |       -51587.3   |         -50972   |       -615.295   |   00:38:12   |   55:32:23   |
3420        |       -51603.1   |       -50993.7   |       -609.322   |   00:38:26   |   55:32:54   |
3440        |       -51602.9   |       -50991.3   |       -611.553   |   00:38:40   |   55:33:25   |
3460        |       -51595.7   |       -50979.8   |       -615.958   |   00:38:53   |   55:32:30   |
3480        |       -51597.5   |         -50973   |       -624.537   |   00:39:06   |   55:31:35   |
3500        |       -51587.7   |       -50968.9   |       -618.784   |   00:39:20   |   55:32:05   |
3520        |         -51598   |       -50983.1   |       -614.815   |   00:39:34   |   55:32:35   |
3540        |       -51579.6   |       -50970.7   |       -608.903   |   00:39:48   |   55:33:04   |
3560        |       -51587.5   |       -50976.8   |       -610.752   |   00:40:01   |   55:32:10   |
3580        |       -51590.3   |       -50978.4   |       -611.863   |   00:40:14   |   55:31:16   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
3600        |         -51604   |       -50984.9   |       -619.133   |   00:40:28   |   55:31:45   |
3620        |       -51593.2   |       -50978.4   |       -614.829   |   00:40:41   |   55:30:51   |
3640        |       -51591.5   |       -50976.7   |       -614.731   |   00:40:55   |   55:31:20   |
3660        |       -51595.3   |       -50982.1   |       -613.216   |   00:41:08   |   55:30:27   |
3680        |       -51598.4   |       -50981.5   |       -616.854   |   00:41:22   |   55:30:54   |
3700        |       -51593.8   |       -50977.4   |       -616.386   |   00:41:35   |   55:30:02   |
3720        |       -51587.1   |       -50970.2   |       -616.899   |   00:41:48   |   55:29:10   |
3740        |         -51605   |       -50983.9   |       -621.103   |   00:42:02   |   55:29:37   |
3760        |       -51598.9   |       -50976.1   |       -622.805   |   00:42:15   |   55:28:45   |
3780        |       -51616.6   |       -50998.4   |       -618.186   |   00:42:29   |   55:29:12   |
3800        |       -51606.8   |       -50981.8   |       -625.006   |   00:42:42   |   55:28:21   |
3820        |       -51598.7   |       -50972.3   |       -626.456   |   00:42:56   |   55:28:47   |
3840        |         -51623   |       -50991.1   |       -631.902   |   00:43:10   |   55:29:13   |
3860        |       -51613.9   |         -50981   |       -632.971   |   00:43:24   |   55:29:39   |
3880        |       -51621.4   |       -50994.4   |       -626.947   |   00:43:37   |   55:28:48   |
3900        |       -51598.7   |       -50975.6   |       -623.114   |   00:43:50   |   55:27:57   |
3920        |       -51607.8   |       -50973.6   |       -634.123   |   00:44:04   |   55:28:22   |
3940        |       -51594.5   |       -50964.7   |       -629.754   |   00:44:17   |   55:27:32   |
3960        |       -51602.3   |       -50972.4   |       -629.949   |   00:44:30   |   55:26:42   |
3980        |       -51617.1   |       -50982.3   |       -634.746   |   00:44:44   |   55:27:07   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
4000        |         -51607   |       -50970.4   |       -636.611   |   00:44:57   |   55:26:18   |
4020        |       -51617.4   |       -50982.9   |       -634.526   |   00:45:11   |   55:26:42   |
4040        |       -51610.7   |       -50978.6   |       -632.145   |   00:45:25   |   55:27:06   |
4060        |       -51598.6   |         -50967   |       -631.653   |   00:45:39   |   55:27:30   |
4080        |       -51589.4   |       -50964.7   |       -624.658   |   00:45:52   |   55:26:40   |
4100        |       -51612.3   |       -50983.2   |       -629.092   |   00:46:06   |   55:27:04   |
4120        |       -51607.7   |         -50978   |       -629.677   |   00:46:20   |   55:27:27   |
4140        |       -51602.1   |       -50979.7   |       -622.407   |   00:46:34   |   55:27:49   |
4160        |       -51604.3   |         -50989   |       -615.237   |   00:46:48   |   55:28:12   |
4180        |       -51601.4   |       -50978.9   |         -622.5   |   00:47:02   |   55:28:33   |
4200        |       -51608.9   |       -50990.7   |       -618.151   |   00:47:15   |   55:27:45   |
4220        |       -51596.4   |       -50974.4   |       -622.013   |   00:47:29   |   55:28:06   |
4240        |       -51602.2   |       -50976.8   |       -625.466   |   00:47:43   |   55:28:27   |
4260        |       -51598.8   |       -50977.7   |       -621.112   |   00:47:57   |   55:28:48   |
4280        |       -51603.6   |       -50974.8   |       -628.813   |   00:48:11   |   55:29:09   |
4300        |       -51593.3   |       -50970.5   |       -622.815   |   00:48:24   |   55:28:20   |
4320        |       -51613.9   |         -50988   |       -625.815   |   00:48:37   |   55:27:32   |
4340        |         -51603   |       -50970.1   |       -632.897   |   00:48:51   |   55:27:52   |
4360        |       -51595.8   |       -50970.7   |        -625.12   |   00:49:05   |   55:28:12   |
