Starting job 16490075 on c5-60 on Saga at Wed Dec 24 13:13:30 CET 2025


RevBayes version (1.1.1)
Build from  () on Fri May  5 01:48:14 PM CEST 2023

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev")
   Processing file "scripts/mcmc_CEFBDRP_Ranges_rhinos.Rev"
   Successfully read one character matrix from file 'data/rrna.nex'
   Successfully read one character matrix from file 'data/coding_1.nex'
   Successfully read one character matrix from file 'data/coding_2.nex'
   Successfully read one character matrix from file 'data/coding_3.nex'
   Successfully read one character matrix from file 'data/character_matrix_RB_rhinos.nex'
   Processing file "scripts/model_FBDRP_rhinos.Rev"
   Processing of file "scripts/model_FBDRP_rhinos.Rev" completed
   Processing file "scripts/model_UExp_rhinos.Rev"
   Processing of file "scripts/model_UExp_rhinos.Rev" completed
   Processing file "scripts/model_GTRG_rhinos.Rev"
   Processing of file "scripts/model_GTRG_rhinos.Rev" completed
   Processing file "scripts/model_Morph_rhinos.Rev"
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   Processing of file "scripts/model_Morph_rhinos.Rev" completed

   Running MCMC simulation
   This simulation runs 1 independent replicate.
   The simulator uses 47 different moves in a random move schedule with 143 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
4700        |       -57100.8   |       -56491.9   |        -608.97   |   00:57:18   |   161:35:53   |
4750        |       -57107.9   |       -56503.3   |       -604.617   |   00:57:56   |   161:39:15   |
4800        |       -57105.3   |       -56493.7   |       -611.535   |   00:58:32   |   161:37:01   |
4850        |       -57100.8   |       -56496.4   |       -604.391   |   00:59:09   |   161:37:33   |
4900        |       -57112.9   |       -56506.4   |       -606.474   |   00:59:45   |   161:35:21   |
4950        |         -57111   |       -56508.1   |       -602.884   |   01:00:22   |   161:35:51   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
5000        |         -57123   |         -56511   |        -612.03   |   01:00:59   |   161:36:21   |
5050        |       -57112.4   |       -56509.9   |        -602.48   |   01:01:35   |   161:34:11   |
5100        |       -57117.6   |       -56516.6   |       -601.006   |   01:02:11   |   161:32:03   |
5150        |       -57102.3   |       -56503.4   |        -598.89   |   01:02:48   |   161:32:32   |
5200        |       -57119.7   |       -56517.5   |       -602.228   |   01:03:24   |   161:30:26   |
5250        |       -57113.5   |       -56509.2   |       -604.293   |   01:04:01   |   161:30:54   |
5300        |         -57094   |       -56491.9   |       -602.131   |   01:04:38   |   161:31:20   |
5350        |       -57105.7   |       -56508.6   |       -597.119   |   01:05:15   |   161:31:45   |
5400        |       -57090.4   |       -56483.3   |        -607.08   |   01:05:52   |   161:32:09   |
5450        |       -57113.7   |       -56507.6   |       -606.105   |   01:06:29   |   161:32:32   |
5500        |       -57103.3   |       -56510.6   |        -592.67   |   01:07:06   |   161:32:54   |
5550        |       -57104.9   |         -56508   |       -596.868   |   01:07:43   |   161:33:14   |
5600        |       -57109.7   |       -56510.6   |       -599.101   |   01:08:18   |   161:28:50   |
5650        |       -57105.3   |       -56508.5   |       -596.819   |   01:08:55   |   161:29:11   |
5700        |       -57104.6   |       -56493.5   |       -611.118   |   01:09:32   |   161:29:31   |
5750        |       -57106.5   |       -56496.3   |       -610.227   |   01:10:10   |   161:32:09   |
5800        |       -57103.9   |       -56504.5   |       -599.351   |   01:10:47   |   161:32:26   |
5850        |       -57093.9   |       -56486.1   |       -607.799   |   01:11:24   |   161:32:42   |
5900        |       -57109.2   |       -56498.1   |       -611.067   |   01:12:01   |   161:32:57   |
5950        |         -57107   |       -56494.5   |       -612.476   |   01:12:39   |   161:35:25   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
6000        |       -57116.4   |       -56507.1   |        -609.32   |   01:13:15   |   161:33:25   |
6050        |       -57112.6   |       -56501.1   |       -611.417   |   01:13:52   |   161:33:37   |
6100        |       -57106.7   |       -56502.9   |       -603.792   |   01:14:28   |   161:31:39   |
6150        |       -57090.3   |       -56485.9   |       -604.381   |   01:15:03   |   161:27:33   |
6200        |       -57113.9   |       -56506.3   |       -607.596   |   01:15:41   |   161:29:54   |
6250        |         -57098   |       -56494.3   |       -603.669   |   01:16:17   |   161:27:59   |
6300        |       -57105.2   |       -56495.5   |       -609.684   |   01:16:55   |   161:30:16   |
6350        |       -57101.8   |         -56498   |       -603.865   |   01:17:32   |   161:30:26   |
6400        |         -57102   |       -56488.7   |       -613.258   |   01:18:09   |   161:30:36   |
6450        |         -57106   |       -56496.5   |       -609.474   |   01:18:45   |   161:28:41   |
6500        |       -57107.5   |       -56496.8   |       -610.684   |   01:19:22   |   161:28:50   |
6550        |       -57109.4   |       -56493.3   |       -616.077   |   01:19:59   |   161:28:58   |
6600        |       -57091.9   |       -56479.4   |       -612.495   |   01:20:35   |   161:27:05   |
6650        |       -57105.8   |       -56484.5   |       -621.288   |   01:21:11   |   161:25:13   |
6700        |       -57105.4   |       -56487.6   |       -617.779   |   01:21:46   |   161:21:25   |
6750        |       -57106.1   |       -56487.8   |       -618.316   |   01:22:24   |   161:23:31   |
6800        |       -57104.6   |       -56489.9   |        -614.67   |   01:23:00   |   161:21:42   |
6850        |       -57097.2   |       -56484.9   |       -612.357   |   01:23:36   |   161:19:54   |
6900        |       -57093.5   |       -56485.4   |        -608.13   |   01:24:12   |   161:18:07   |
6950        |       -57105.4   |       -56494.1   |       -611.294   |   01:24:48   |   161:16:21   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
7000        |       -57113.5   |         -56506   |       -607.504   |   01:25:25   |   161:16:29   |
7050        |       -57113.6   |       -56503.3   |       -610.295   |   01:26:01   |   161:14:44   |
7100        |       -57127.8   |       -56521.8   |        -605.96   |   01:26:37   |   161:13:00   |
7150        |       -57105.8   |       -56507.9   |       -597.874   |   01:27:14   |   161:13:08   |
7200        |       -57127.4   |       -56520.6   |       -606.891   |   01:27:48   |   161:07:45   |
7250        |       -57125.3   |         -56522   |       -603.302   |   01:28:24   |   161:06:04   |
7300        |       -57106.1   |       -56495.5   |       -610.597   |   01:29:00   |   161:04:25   |
7350        |       -57118.8   |       -56506.4   |       -612.386   |   01:29:36   |   161:02:46   |
7400        |       -57115.6   |       -56494.6   |       -620.932   |   01:30:12   |   161:01:09   |
7450        |       -57123.1   |       -56504.9   |       -618.236   |   01:30:48   |   160:59:32   |
7500        |       -57112.8   |       -56494.4   |       -618.352   |   01:31:25   |   160:59:41   |
7550        |         -57123   |       -56506.2   |       -616.722   |   01:32:02   |   160:59:50   |
7600        |       -57126.9   |       -56514.8   |       -612.036   |   01:32:39   |   160:59:58   |
7650        |       -57102.6   |       -56487.4   |       -615.231   |   01:33:15   |   160:58:23   |
7700        |       -57112.7   |       -56510.7   |       -601.959   |   01:33:50   |   160:55:05   |
7750        |       -57123.1   |       -56516.8   |        -606.35   |   01:34:27   |   160:55:13   |
7800        |       -57121.2   |       -56507.6   |       -613.593   |   01:35:04   |   160:55:21   |
7850        |       -57109.9   |       -56496.6   |       -613.333   |   01:35:40   |   160:53:48   |
7900        |       -57111.7   |       -56497.5   |       -614.247   |   01:36:17   |   160:53:55   |
7950        |       -57117.2   |       -56510.8   |       -606.408   |   01:36:53   |   160:52:22   |


Iter        |      Posterior   |     Likelihood   |          Prior   |    elapsed   |        ETA   |
----------------------------------------------------------------------------------------------------
8000        |       -57097.3   |       -56493.1   |       -604.205   |   01:37:30   |   160:52:30   |
8050        |       -57110.9   |       -56504.1   |       -606.821   |   01:38:07   |   160:52:36   |
8100        |       -57100.4   |       -56492.2   |       -608.234   |   01:38:42   |   160:49:26   |
8150        |       -57112.8   |       -56511.5   |       -601.338   |   01:39:19   |   160:49:33   |
8200        |         -57103   |       -56495.4   |       -607.687   |   01:39:56   |   160:49:39   |
8250        |       -57096.1   |       -56489.2   |       -606.824   |   01:40:32   |   160:48:09   |
8300        |       -57114.6   |       -56511.5   |       -603.081   |   01:41:08   |   160:46:39   |
8350        |       -57105.8   |       -56499.2   |       -606.661   |   01:41:46   |   160:48:19   |
8400        |       -57091.7   |       -56487.2   |       -604.533   |   01:42:23   |   160:48:24   |
8450        |       -57086.5   |         -56475   |       -611.563   |   01:43:00   |   160:48:28   |
8500        |       -57111.7   |       -56496.8   |       -614.886   |   01:43:36   |   160:46:59   |
8550        |       -57119.5   |       -56511.8   |       -607.619   |   01:44:13   |   160:47:03   |
8600        |       -57110.1   |       -56502.5   |       -607.555   |   01:44:49   |   160:45:34   |
8650        |       -57108.8   |       -56504.1   |       -604.659   |   01:45:27   |   160:47:09   |
8700        |       -57101.3   |       -56498.2   |       -603.107   |   01:46:03   |   160:45:40   |
8750        |       -57095.4   |       -56494.2   |       -601.217   |   01:46:39   |   160:44:12   |
