Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	TL
1250	-42197.98	-42146.14	-51.83794	8.6808e+07	4.31364e+06	4.82628e+07	9.48512e+07	0.0452068	0.0476865	0.0699912	0.2345	0.0441625	0.0387656	0.0399572	0.0575777	0.0764296	0.00704877	0.0529144	0.0304637	0.0462474	0.546985	0.456369	0.130599	2.68219	0.0904216	0.126976	0.0363367	0.746266	0.696556	0.745513	0.872694	0.0981018	0.7909515
1300	-42207.68	-42154.43	-53.24514	7.47051e+07	8.80243e+06	9.76637e+07	1.4433e+07	0.0479936	0.0469428	0.0687342	0.249752	0.0458927	0.0360211	0.0444019	0.0505514	0.0732941	0.00485248	0.0468951	0.0274165	0.0473245	0.559517	0.422901	0.115963	2.72285	0.0924934	0.117664	0.0322643	0.757579	0.673341	0.753858	0.865714	0.0973913	0.790072
1350	-42190.69	-42140.44	-50.25211	9.29583e+07	4.4541e+07	8.53152e+07	9.75501e+07	0.045841	0.0470606	0.0675512	0.232515	0.0456109	0.0376756	0.0392011	0.0455715	0.0666774	0.0155822	0.0496997	0.0336208	0.0426856	0.562702	0.453922	0.150085	2.65581	0.0930199	0.126295	0.0417581	0.738927	0.720719	0.739862	0.87957	0.0711429	0.7692921
1400	-42202.39	-42151.96	-50.42995	3.45395e+07	3.01648e+07	1.09974e+07	4.05708e+07	0.0442453	0.0448019	0.0685585	0.229588	0.04591	0.0404173	0.0431326	0.0494449	0.0758974	0.0105906	0.0507955	0.030784	0.0417739	0.549859	0.484222	0.143051	2.64018	0.0908968	0.134725	0.0398011	0.734577	0.703616	0.73652	0.862447	0.0997436	0.7759397
1450	-42192.93	-42141.59	-51.34177	1.21047e+07	4.94252e+07	5.87725e+07	7.67548e+07	0.0417625	0.0419321	0.0691276	0.22639	0.0472817	0.0358323	0.0431112	0.0524569	0.0638817	0.00803471	0.0520002	0.0291218	0.0508376	0.546853	0.454765	0.134198	2.68027	0.0903999	0.126529	0.037338	0.745733	0.719684	0.736186	0.856112	0.078631	0.7617705
1500	-42198.51	-42148.66	-49.85232	9.91371e+07	9.82259e+07	2.142e+07	9.80107e+07	0.0417584	0.0441888	0.0692161	0.233824	0.0488743	0.0351691	0.040947	0.0528928	0.0751828	0.00662431	0.0465912	0.0318574	0.0454303	0.5989	0.449835	0.150297	2.63818	0.0990037	0.125158	0.0418171	0.734021	0.733582	0.730544	0.863308	0.0853901	0.7725568
1550	-42192.81	-42140.85	-51.95753	4.87726e+06	6.91107e+07	1.08237e+07	4.98126e+07	0.0467232	0.0470407	0.0673788	0.251898	0.0445716	0.0383856	0.0439707	0.053575	0.0719819	0.00314371	0.0475504	0.029062	0.0499927	0.54541	0.470115	0.126482	2.67349	0.0901613	0.1308	0.0351912	0.743847	0.732156	0.742695	0.87395	0.0899737	0.7952742
1600	-42198.76	-42148.33	-50.43008	8.66756e+07	1.56796e+07	6.05572e+07	9.46514e+07	0.0389374	0.0486279	0.0635363	0.233074	0.0481961	0.0409806	0.0410564	0.0462996	0.0697047	0.00863599	0.0393304	0.0330054	0.0578182	0.610797	0.44608	0.138401	2.64676	0.10097	0.124113	0.0385073	0.736409	0.733446	0.747401	0.859943	0.0914913	0.7692027
1650	-42200.26	-42147.95	-52.3096	6.64422e+07	7.20954e+07	3.40492e+07	2.3142e+07	0.0439099	0.0442354	0.0688406	0.248397	0.0489313	0.0382646	0.0415134	0.0515421	0.0699879	0.00543091	0.0539537	0.0337913	0.0517927	0.540766	0.439381	0.130598	2.70287	0.0893936	0.122249	0.0363364	0.752021	0.728281	0.730526	0.883871	0.0770751	0.8005906
1700	-42188.28	-42137.23	-51.05686	4.85433e+07	5.56515e+07	9.88077e+07	6.94453e+07	0.0431309	0.0439881	0.0693144	0.241709	0.0475906	0.0374145	0.0374477	0.051989	0.0669823	0.0050375	0.0448666	0.0302745	0.0558346	0.545655	0.457766	0.14049	2.67169	0.0902019	0.127364	0.0390887	0.743345	0.716552	0.740501	0.875412	0.0877307	0.7755793
