Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
340	-51784.63	-51118.73	-665.8976	0.0698072	0.627291	0.428041	2.51471	1.878664	0.01810254	0.01492183	0.03027591	0.2414164	1	59.57558	0.106286	0.66591	0.879208	0.0577315	0.02559607	0.278347	0.641458	1.06663	2.01356	0.2716923	0.8885654
350	-51746.09	-51083.73	-662.3688	0.0757442	0.582114	0.42404	2.35537	2.000566	0.01856405	0.01456132	-0.0002594964	0.2543441	1	55.31514	0.131048	0.693699	0.876143	0.0510168	0.0268666	0.293342	0.655074	1.07	1.98158	0.2540846	1.001021
360	-51747.59	-51082.16	-665.4347	0.0768648	0.567262	0.410315	2.49475	1.702439	0.01884278	0.01365052	0.006489514	0.2478145	0	60.45658	0.225251	0.670628	0.879966	0.0431804	0.02434205	0.25497	0.619116	1.06039	2.06553	0.254304	0.9744813
370	-51729.18	-51067.35	-661.8246	0.0806726	0.542191	0.456616	2.37779	1.925843	0.01857231	0.01415722	-0.0007995974	0.2577983	0	59.56752	0.168505	0.670628	0.866173	0.0545709	0.01984058	0.284259	0.646889	1.06802	2.00083	0.2569987	1.003111
380	-51720.03	-51061.77	-658.2641	0.0839387	0.519416	0.433374	2.08062	1.967304	0.01841267	0.01491044	0.00993007	0.2724568	0	56.35757	0.218045	0.653048	0.880848	0.022358	0.02963069	0.28934	0.651491	1.06915	1.99002	0.2823868	0.9648352
390	-51726.18	-51070.41	-655.7644	0.0889325	0.507337	0.439964	2.10978	1.996203	0.01981681	0.01622605	0.0135526	0.2570151	1	58.40321	0.202163	0.674297	0.880848	0.0538491	0.02541222	0.292821	0.654609	1.06989	1.98268	0.2705677	0.9499105
400	-51713.86	-51054.04	-659.8257	0.0897342	0.475905	0.426454	2.37623	1.635057	0.01870807	0.01542001	0.01470963	0.2475322	0	57.12847	0.215328	0.65794	0.88395	0.0498591	0.0292493	0.245452	0.609595	1.05746	2.08749	0.2622418	0.9439081
410	-51708.83	-51049.79	-659.0365	0.0971864	0.430986	0.40806	2.50741	1.758768	0.01860566	0.01442508	0.005624592	0.274643	0	60.33151	0.181087	0.649288	0.879722	0.0411329	0.01685769	0.262674	0.626638	1.06259	2.0481	0.2802676	0.9799313
420	-51698.95	-51041.98	-656.97	0.104286	0.447481	0.452398	2.9498	1.993582	0.0181534	0.01373872	-0.01751567	0.2804582	0	56.77406	0.271845	0.647225	0.893009	0.0465479	0.02470477	0.292507	0.654329	1.06983	1.98333	0.2629425	1.066614
430	-51702.17	-51039.55	-662.6117	0.108019	0.450462	0.469005	2.74186	2.094315	0.01787088	0.01336318	0.004911123	0.3302145	0	64.47518	0.211071	0.654784	0.890342	0.0526158	0.01740623	0.304279	0.664682	1.07218	1.95886	0.3351257	0.9853454
440	-51696.13	-51032.62	-663.5041	0.1171	0.461631	0.449349	2.84064	2.292233	0.01807234	0.01286294	0.02533816	0.2802802	0	60.27765	0.338363	0.659882	0.880064	0.0371829	0.01677791	0.32583	0.682879	1.07584	1.91545	0.3056184	0.9170921
450	-51684.44	-51028.78	-655.6569	0.128079	0.515666	0.40599	2.78869	2.288593	0.01934581	0.0134743	0.01407561	0.2954174	0	62.63003	0.353161	0.675398	0.87263	0.0564436	0.01982905	0.325451	0.682568	1.07578	1.9162	0.309493	0.9545204
460	-51690.18	-51038.05	-652.1278	0.139927	0.489497	0.436623	2.86047	2.082864	0.0203488	0.01351302	-0.01256643	0.2907118	1	57.55679	0.320938	0.652222	0.88191	0.065497	0.02442991	0.30297	0.663546	1.07193	1.96155	0.2781453	1.045179
470	-51681.89	-51025.32	-656.573	0.126643	0.543048	0.444954	3.01521	2.140526	0.01980591	0.01298084	-0.01798065	0.3440823	0	64.69321	0.310109	0.685122	0.88191	0.0463289	0.02224151	0.309491	0.669171	1.07314	1.9482	0.3261017	1.055138
480	-51695.07	-51038.69	-656.3823	0.129574	0.502766	0.445092	3.30851	2.216589	0.01925297	0.01330752	0.01221163	0.3249318	0	57.12462	0.268636	0.658665	0.884331	0.0697032	0.02589265	0.317827	0.676232	1.07457	1.93137	0.3371434	0.9637791
490	-51671.99	-51022.24	-649.7513	0.130197	0.510749	0.43242	3.83952	2.001899	0.02085983	0.0124239	0.005320551	0.3588419	0	58.48175	0.300547	0.648758	0.884331	0.0595813	0.02116661	0.293501	0.655215	1.07004	1.98125	0.3641624	0.9853896
500	-51678.3	-51023.78	-654.5173	0.130629	0.51295	0.431126	3.64872	2.008101	0.01940888	0.01297363	0.01491839	0.2940178	0	64.77051	0.307387	0.632478	0.863735	0.0595813	0.02099196	0.29424	0.655872	1.07019	1.9797	0.3089362	0.9517105
510	-51664.35	-51013.11	-651.2429	0.129925	0.485785	0.304949	3.06302	1.831385	0.02010926	0.01294687	-0.001900769	0.296232	0	61.51045	0.304867	0.66338	0.844865	0.0518938	0.02334704	0.272281	0.635796	1.06513	2.02679	0.2943312	1.006458
520	-51644.32	-50996.44	-647.8714	0.127832	0.482746	0.253632	3.32355	2.072091	0.02079459	0.01289277	-0.009772982	0.3551963	1	60.64777	0.290584	0.641527	0.84232	0.0468176	0.01946594	0.301731	0.662467	1.07169	1.96411	0.3454233	1.028293
530	-51642.63	-50993.71	-648.9201	0.129639	0.405304	0.21653	3.91566	1.614462	0.021192	0.01304123	0.002598216	0.3467246	1	61.22414	0.310799	0.653184	0.839514	0.0552162	0.02085187	0.242475	0.606562	1.05649	2.09447	0.3493228	0.9925621
540	-51648.55	-50999.89	-648.6595	0.117555	0.350123	0.206756	3.11623	2.725481	0.01941141	0.01352425	-0.008236017	0.321126	1	59.88427	0.300762	0.62376	0.833901	0.0568128	0.02263097	0.366843	0.715099	1.08078	1.83728	0.31289	1.026322
550	-51630.12	-50982.05	-648.0667	0.123444	0.367586	0.216819	3.26928	2.398538	0.01914308	0.01345908	-0.007260726	0.3219172	1	60.41302	0.287657	0.635538	0.830006	0.0568128	0.02434405	0.336621	0.691649	1.07738	1.89435	0.3146564	1.023075
560	-51639.14	-50987.19	-651.942	0.12007	0.347033	0.211959	3.14596	2.009334	0.02038304	0.01308441	-0.02014606	0.3392374	1	60.97545	0.308815	0.628171	0.827861	0.04044	0.02019472	0.294386	0.656003	1.07022	1.97939	0.3190914	1.063136
570	-51637.25	-50985.79	-651.4647	0.133237	0.314489	0.228631	3.48059	2.021521	0.0186791	0.0132043	0.01808796	0.2686798	1	62.11263	0.323697	0.557723	0.842522	0.0597011	0.03067906	0.29583	0.657283	1.07052	1.97637	0.2867678	0.9369247
580	-51639.94	-50992.49	-647.4523	0.130254	0.300812	0.211754	4.7407	1.940086	0.01979333	0.0130129	0.03233918	0.2160077	1	63.52311	0.257365	0.58772	0.845044	0.0649535	0.02585097	0.286016	0.648487	1.06842	1.99708	0.2483469	0.8697822
590	-51639.92	-50992.57	-647.3468	0.132902	0.324697	0.193246	3.02212	2.199662	0.02090431	0.01296812	0.01132496	0.2308559	1	56.16348	0.288677	0.582664	0.835332	0.0486828	0.02621984	0.315998	0.674694	1.07427	1.93504	0.2421809	0.9532376
600	-51643.85	-50996.77	-647.0827	0.145882	0.317556	0.210295	2.78586	2.233045	0.02213319	0.01281732	-0.001498036	0.191918	2	62.82251	0.288059	0.611267	0.831517	0.0633924	0.02977404	0.319592	0.677708	1.07486	1.92784	0.19042	1.007867
610	-51632.14	-50987.89	-644.251	0.129437	0.272827	0.197683	3.35447	2.204976	0.02026347	0.01305787	0.02174442	0.2660335	2	55.7678	0.308372	0.583904	0.829621	0.0382223	0.028362	0.316574	0.675179	1.07436	1.93388	0.287778	0.9244403
