Iteration	Posterior	Likelihood	Prior	alpha_morpho	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	TL
1100	-7529.073	-7430.234	-98.83886	2.164267	0.312125	0.671417	1.0736	1.94285	15.22972
1110	-7541.21	-7447.965	-93.24492	1.740379	0.260184	0.624224	1.06189	2.0537	14.71271
1120	-7536.121	-7444.463	-91.65796	1.889477	0.279715	0.642722	1.06696	2.0106	14.53911
1130	-7531.386	-7430.169	-101.2169	1.837039	0.273014	0.636485	1.06532	2.02518	15.50025
1140	-7549.307	-7458.888	-90.41834	1.857434	0.275641	0.638943	1.06598	2.01944	14.41835
1150	-7520.765	-7432.271	-88.49371	1.866471	0.276797	0.640019	1.06626	2.01693	14.22498
1160	-7521.918	-7431.453	-90.465	1.859816	0.275946	0.639228	1.06605	2.01878	14.42278
1170	-7525.524	-7437.55	-87.97476	1.907555	0.281984	0.644809	1.06749	2.00571	14.16898
1180	-7530.076	-7441.814	-88.26282	2.004054	0.293758	0.655444	1.07009	1.98071	14.18813
1190	-7538.12	-7445.426	-92.69405	2.024202	0.296147	0.657563	1.07058	1.97571	14.62924
1200	-7539.727	-7449.081	-90.64552	1.692379	0.25357	0.617732	1.05997	2.06873	14.45757
1210	-7532.763	-7433.556	-99.20679	1.998447	0.293089	0.654848	1.06995	1.98211	15.28309
1220	-7519.616	-7436.325	-83.2911	1.715896	0.256831	0.620948	1.06093	2.06129	13.71978
1230	-7530.766	-7437.705	-93.0609	2.215435	0.317703	0.676127	1.07455	1.93162	14.6468
1240	-7520.566	-7439.024	-81.54204	2.069235	0.301402	0.66218	1.07163	1.96479	13.50954
1250	-7511.188	-7426.569	-84.61982	1.861208	0.276124	0.639394	1.06609	2.01839	13.83812
1260	-7527.25	-7442.506	-84.74387	1.657113	0.248605	0.612778	1.05846	2.08016	13.87093
1270	-7518.968	-7433.279	-85.68918	1.710377	0.25607	0.6202	1.06071	2.06302	13.96014
1280	-7521.947	-7426.768	-95.17904	2.084684	0.303178	0.663727	1.07197	1.96112	14.87169
1290	-7532.286	-7438.729	-93.55707	2.112308	0.306322	0.666448	1.07256	1.95467	14.70673
1300	-7532.371	-7437.302	-95.06852	2.021448	0.295822	0.657275	1.07052	1.97639	14.86697
1310	-7553.193	-7447.132	-106.0605	1.908297	0.282077	0.644894	1.06752	2.00551	15.97748
1320	-7533.698	-7435.881	-97.81671	2.023525	0.296067	0.657492	1.07057	1.97587	15.14158
1330	-7529.084	-7442.13	-86.95375	1.851889	0.27493	0.638279	1.0658	2.02099	14.07244
1340	-7541.25	-7447.591	-93.65946	1.933383	0.285191	0.647737	1.06823	1.99884	14.73487
1350	-7531.481	-7439.434	-92.0472	2.031234	0.296975	0.658294	1.07075	1.97398	14.56385
1360	-7533.153	-7441.394	-91.75996	2.140818	0.309524	0.669199	1.07314	1.94813	14.52417
1370	-7545.407	-7440.715	-104.6916	1.862964	0.276349	0.639603	1.06615	2.0179	15.84513
1380	-7545.937	-7449.823	-96.11443	1.92798	0.284523	0.64713	1.06808	2.00027	14.9809
1390	-7528.32	-7434.143	-94.1776	1.940376	0.286052	0.64852	1.06842	1.997	14.78598
1400	-7543.516	-7447.821	-95.69516	2.171472	0.312919	0.672091	1.07374	1.94125	14.91463
1410	-7529.2	-7441.854	-87.34548	2.052441	0.299455	0.660477	1.07125	1.96882	14.09156
1420	-7535.763	-7438.728	-97.03458	2.378649	0.334641	0.690056	1.07711	1.89819	15.02785
1430	-7555.809	-7459.206	-96.60268	1.820755	0.270897	0.634491	1.06478	2.02983	15.04045
1440	-7529.828	-7434.868	-94.95998	1.907956	0.282034	0.644855	1.06751	2.00561	14.86746
1450	-7526.325	-7426.431	-99.8946	2.206632	0.316753	0.675329	1.07439	1.93352	15.33106
1460	-7508.475	-7431.278	-77.19673	2.037634	0.297726	0.658957	1.0709	1.97241	13.07817
1470	-7540.03	-7455.231	-84.7993	1.792902	0.267234	0.631015	1.06382	2.03793	13.8629
1480	-7535.842	-7443.346	-92.49548	1.640338	0.24621	0.610363	1.0577	2.08573	14.64777
1490	-7519.204	-7432.615	-86.5889	2.317159	0.328407	0.684994	1.07622	1.91038	13.98943
1500	-7542.318	-7441.116	-101.2023	2.237943	0.320114	0.678145	1.07494	1.9268	15.4587
1510	-7547.322	-7442.748	-104.5739	1.871702	0.277463	0.640638	1.06642	2.01548	15.83247
1520	-7540.551	-7445.522	-95.02948	1.837998	0.273138	0.636602	1.06535	2.02491	14.88141
1530	-7521.175	-7442.421	-78.75393	2.08317	0.303005	0.663576	1.07194	1.96148	13.22933
