Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha_morpho	clock_morpho	clock_rates	diversification	extinction_rate	num_samp_anc	origin_time	pinvar[1]	pinvar[2]	pinvar[3]	pinvar[4]	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	turnover
1850	-57084.38	-56453.65	-630.7263	0.121765	0.132917	0.0825141	2.59496	1.918291	0.02436082	0.01609553	-0.004880954	0.2727014	0	57.29907	0.268984	0.402767	0.746255	0.0379978	0.04136759	0.283322	0.646034	1.0678	2.00284	0.2678204	1.018225
1900	-57079.3	-56457.01	-622.2837	0.124854	0.14331	0.0816748	2.31925	1.95333	0.02244833	0.01621619	0.009955532	0.2998155	0	61.17877	0.300769	0.376161	0.764128	0.0459249	0.03965715	0.287639	0.649957	1.06878	1.99363	0.309771	0.9678616
1950	-57092.15	-56476.7	-615.4553	0.134868	0.123638	0.0814356	2.16321	1.970045	0.02402272	0.0178891	0.01330855	0.3644434	0	56.91656	0.311865	0.375638	0.750879	0.0481699	0.02828561	0.289672	0.65179	1.06922	1.98932	0.3777519	0.9647691
2000	-57093.31	-56471.02	-622.2949	0.122825	0.135319	0.08583	2.76993	1.904997	0.02485647	0.01540599	0.01269225	0.4367213	0	59.26424	0.293705	0.394671	0.729978	0.0517267	0.02499056	0.281664	0.644515	1.06742	2.0064	0.4494136	0.9717582
2050	-57085.92	-56465.08	-620.8399	0.112049	0.129739	0.086528	2.58467	1.647118	0.02267135	0.0166223	-0.0007055458	0.3001818	0	63.37776	0.301224	0.351053	0.72114	0.050299	0.03184471	0.247181	0.611344	1.05801	2.08347	0.2994763	1.002356
2100	-57080.81	-56463.2	-617.6038	0.134731	0.138411	0.0850187	2.60551	2.115776	0.02628916	0.01657386	0.01754142	0.4215425	0	64.90575	0.302777	0.386547	0.741723	0.0463116	0.01947433	0.306714	0.666786	1.07263	1.95387	0.4390839	0.96005
2150	-57082.63	-56454.93	-627.7029	0.130903	0.123315	0.0851216	2.5326	1.700125	0.02354616	0.01709758	-0.007795427	0.479121	0	56.38462	0.290314	0.38731	0.714761	0.0366176	0.02257511	0.254649	0.618799	1.06029	2.06626	0.4713256	1.016539
2200	-57099.54	-56485.31	-614.2349	0.142862	0.145647	0.0879858	2.47143	1.987953	0.02514839	0.01657668	0.00716699	0.319098	0	60.3874	0.327519	0.366464	0.725437	0.0463931	0.02846486	0.291832	0.653726	1.06969	1.98476	0.326265	0.9780332
2250	-57075.29	-56453.22	-622.0744	0.125121	0.134058	0.0796647	2.85906	1.911332	0.02318754	0.01670598	0.02204678	0.3248174	0	62.0364	0.281992	0.333301	0.746299	0.0532821	0.02644074	0.282455	0.645241	1.0676	2.0047	0.3468641	0.9364397
2300	-57079.99	-56453.32	-626.6696	0.119824	0.12404	0.0843919	2.991	1.892904	0.02678131	0.01571669	0.01277726	0.3411596	0	60.82182	0.292857	0.336443	0.748934	0.048191	0.03270956	0.280146	0.64312	1.06706	2.00967	0.3539368	0.9638996
2350	-57068.48	-56453.53	-614.9483	0.127929	0.140599	0.0872884	3.412	1.93035	0.02456045	0.01588997	0.0272778	0.4638992	0	63.21371	0.30059	0.362415	0.765013	0.0525697	0.02761025	0.284816	0.647397	1.06814	1.99964	0.491177	0.9444644
2400	-57076.58	-56457.8	-618.7741	0.150891	0.15269	0.0895419	3.8439	1.83907	0.02503174	0.01535845	0.0254424	0.3160477	0	57.72692	0.345635	0.365802	0.704383	0.0502619	0.03231051	0.273277	0.636732	1.06539	2.0246	0.3414901	0.9254959
2450	-57068.08	-56452.91	-615.1725	0.124	0.137911	0.0848129	2.68882	1.569729	0.02415643	0.01591005	0.03495456	0.3452318	0	55.10212	0.289109	0.370077	0.748801	0.0446006	0.0270325	0.235896	0.599766	1.05427	2.11007	0.3801863	0.9080594
2500	-57066.36	-56442.32	-624.0419	0.119549	0.129186	0.0860637	2.93479	1.587002	0.02443139	0.01655763	-0.02394353	0.3821527	0	58.15157	0.251139	0.333516	0.735062	0.0557329	0.02958577	0.238455	0.602425	1.05515	2.10397	0.3582091	1.066842
